MLP,None, 0.1, Adagrad, tanh, 200
MLP,None, 0.1, Adagrad, relu, 100
MLP,None, 0.1, Adagrad, relu, 125
MLP,None, 0.1, Adagrad, relu, 150
MLP,None, 0.1, Adagrad, relu, 175
MLP,None, 0.1, Adagrad, relu, 200
MLP,None, 0.1, Adagrad, sigmoid, 100
MLP,None, 0.1, Adagrad, sigmoid, 125
MLP,None, 0.1, Adagrad, sigmoid, 150
MLP,None, 0.1, Adagrad, sigmoid, 175
MLP,None, 0.1, Adagrad, sigmoid, 200
MLP,None, 0.1, Adagrad, softmax, 100
MLP,None, 0.1, Adagrad, softmax, 125
MLP,None, 0.1, Adagrad, softmax, 150
MLP,None, 0.1, Adagrad, softmax, 175
MLP,None, 0.1, Adagrad, softmax, 200
MLP,None, 0.1, Adadelta, tanh, 100
MLP,None, 0.1, Adadelta, tanh, 125
MLP,None, 0.1, Adadelta, tanh, 150
MLP,None, 0.1, Adadelta, tanh, 175
MLP,None, 0.1, Adadelta, tanh, 200
MLP,None, 0.1, Adadelta, relu, 100
MLP,None, 0.1, Adadelta, relu, 125
MLP,None, 0.1, Adadelta, relu, 150
MLP,None, 0.1, Adadelta, relu, 175
MLP,None, 0.1, Adadelta, relu, 200
MLP,None, 0.1, Adadelta, sigmoid, 100
MLP,None, 0.1, Adadelta, sigmoid, 125
MLP,None, 0.1, Adadelta, sigmoid, 150
MLP,None, 0.1, Adadelta, sigmoid, 175
MLP,None, 0.1, Adadelta, sigmoid, 200
MLP,None, 0.1, Adadelta, softmax, 100
MLP,None, 0.1, Adadelta, softmax, 125
MLP,None, 0.1, Adadelta, softmax, 150
MLP,None, 0.1, Adadelta, softmax, 175
MLP,None, 0.1, Adadelta, softmax, 200
MLP,None, 0.1, Adam, tanh, 100
MLP,None, 0.1, Adam, tanh, 125
MLP,None, 0.1, Adam, tanh, 150
MLP,None, 0.1, Adam, tanh, 175
MLP,None, 0.1, Adam, tanh, 200
MLP,None, 0.1, Adam, relu, 100
MLP,None, 0.1, Adam, relu, 125
MLP,None, 0.1, Adam, relu, 150
MLP,None, 0.1, Adam, relu, 175
MLP,None, 0.1, Adam, relu, 200
MLP,None, 0.1, Adam, sigmoid, 100
MLP,None, 0.1, Adam, sigmoid, 125
MLP,None, 0.1, Adam, sigmoid, 150
MLP,None, 0.1, Adam, sigmoid, 175
MLP,None, 0.1, Adam, sigmoid, 200
MLP,None, 0.1, Adam, softmax, 100
MLP,None, 0.1, Adam, softmax, 125
MLP,None, 0.1, Adam, softmax, 150
MLP,None, 0.1, Adam, softmax, 175
MLP,None, 0.1, Adam, softmax, 200
MLP,None, 0.1, Adamax, tanh, 100
MLP,None, 0.1, Adamax, tanh, 125
MLP,None, 0.1, Adamax, tanh, 150
MLP,None, 0.1, Adamax, tanh, 175
MLP,None, 0.1, Adamax, tanh, 200
MLP,None, 0.1, Adamax, relu, 100
MLP,None, 0.1, Adamax, relu, 125
MLP,None, 0.1, Adamax, relu, 150
MLP,None, 0.1, Adamax, relu, 175
MLP,None, 0.1, Adamax, relu, 200
MLP,None, 0.1, Adamax, sigmoid, 100
MLP,None, 0.1, Adamax, sigmoid, 125
MLP,None, 0.1, Adamax, sigmoid, 150
MLP,None, 0.1, Adamax, sigmoid, 175
MLP,None, 0.1, Adamax, sigmoid, 200
MLP,None, 0.1, Adamax, softmax, 100
MLP,None, 0.1, Adamax, softmax, 125
